測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
36204040,2025/09/01,01,,-,-,-,,0.015,,,,,,,S,3.3,,
36204040,2025/09/01,02,,0,0.001,0.001,,0.013,,,,,,,SSW,1.1,,
36204040,2025/09/01,03,,0,0,0,,0.012,,,,,,,NW,1.6,,
36204040,2025/09/01,04,,0,0.001,0.001,,0.009,,,,,,,WNW,2.0,,
36204040,2025/09/01,05,,0,0.001,0.001,,0.007,,,,,,,W,1.2,,
36204040,2025/09/01,06,,0.001,0.002,0.003,,0.004,,,,,,,WNW,0.9,,
36204040,2025/09/01,07,,0.001,0.001,0.002,,0.005,,,,,,,CALM,0.4,,
36204040,2025/09/01,08,,0.001,0.001,0.002,,0.007,,,,,,,ESE,1.2,,
36204040,2025/09/01,09,,0.001,0.001,0.002,,0.011,,,,,,,S,2.8,,
36204040,2025/09/01,10,,0,0.001,0.001,,0.011,,,,,,,S,5.4,,
36204040,2025/09/01,11,,0,0.001,0.001,,0.012,,,,,,,S,4.0,,
36204040,2025/09/01,12,,-,-,-,,-,,,,,,,S,5.5,,
36204040,2025/09/01,13,,0,0.001,0.001,,0.013,,,,,,,SSW,4.6,,
36204040,2025/09/01,14,,0,0.001,0.001,,0.018,,,,,,,S,5.1,,
36204040,2025/09/01,15,,0.001,0.001,0.002,,0.021,,,,,,,S,3.7,,
36204040,2025/09/01,16,,0,0.001,0.001,,0.018,,,,,,,S,3.4,,
36204040,2025/09/01,17,,0.001,0.001,0.002,,0.020,,,,,,,S,4.2,,
36204040,2025/09/01,18,,0,0.001,0.001,,0.021,,,,,,,S,4.4,,
36204040,2025/09/01,19,,0,0.001,0.001,,0.017,,,,,,,SSW,1.6,,
36204040,2025/09/01,20,,0,0.001,0.001,,0.016,,,,,,,SSW,3.1,,
36204040,2025/09/01,21,,0,0.001,0.001,,0.017,,,,,,,WSW,1.7,,
36204040,2025/09/01,22,,0,0.001,0.001,,0.014,,,,,,,W,1.7,,
36204040,2025/09/01,23,,0,0,0,,0.011,,,,,,,WSW,2.0,,
36204040,2025/09/01,24,,0,0,0,,0.012,,,,,,,W,2.0,,
36204040,2025/09/02,01,,0,0,0,,0.012,,,,,,,WSW,1.5,,
36204040,2025/09/02,02,,0,0,0,,0.012,,,,,,,SSW,1.9,,
36204040,2025/09/02,03,,0,0,0,,0.012,,,,,,,NW,0.9,,
36204040,2025/09/02,04,,0,0.001,0.001,,0.010,,,,,,,W,1.0,,
36204040,2025/09/02,05,,0,0.001,0.001,,0.012,,,,,,,WSW,1.2,,
36204040,2025/09/02,06,,0,0.001,0.001,,0.010,,,,,,,W,0.7,,
36204040,2025/09/02,07,,0,0.001,0.001,,0.010,,,,,,,S,2.8,,
36204040,2025/09/02,08,,0.001,0.001,0.002,,0.012,,,,,,,S,3.2,,
36204040,2025/09/02,09,,0.001,0.001,0.002,,0.014,,,,,,,SW,2.0,,
36204040,2025/09/02,10,,0.001,0.002,0.003,,0.015,,,,,,,S,2.8,,
36204040,2025/09/02,11,,0.001,0.001,0.002,,0.018,,,,,,,S,5.8,,
36204040,2025/09/02,12,,0.001,0.001,0.002,,0.019,,,,,,,S,4.7,,
36204040,2025/09/02,13,,0.001,0.001,0.002,,0.022,,,,,,,S,4.4,,
36204040,2025/09/02,14,,0.001,0.001,0.002,,0.023,,,,,,,S,4.5,,
36204040,2025/09/02,15,,0.001,0.001,0.002,,0.027,,,,,,,SSW,2.8,,
36204040,2025/09/02,16,,0.001,0.001,0.002,,0.027,,,,,,,S,3.5,,
36204040,2025/09/02,17,,0,0.001,0.001,,0.028,,,,,,,S,4.3,,
36204040,2025/09/02,18,,0.001,0.001,0.002,,0.027,,,,,,,S,3.3,,
36204040,2025/09/02,19,,0,0.001,0.001,,0.022,,,,,,,WNW,1.7,,
36204040,2025/09/02,20,,0,0.001,0.001,,0.020,,,,,,,WSW,1.1,,
36204040,2025/09/02,21,,0,0.001,0.001,,0.019,,,,,,,WSW,1.6,,
36204040,2025/09/02,22,,0,0.001,0.001,,0.019,,,,,,,SW,1.4,,
36204040,2025/09/02,23,,0,0.001,0.001,,0.016,,,,,,,S,1.3,,
36204040,2025/09/02,24,,0,0,0,,0.016,,,,,,,WNW,1.5,,
36204040,2025/09/03,01,,0,0.001,0.001,,0.011,,,,,,,WNW,0.6,,
36204040,2025/09/03,02,,0,0.002,0.002,,0.008,,,,,,,WSW,0.8,,
36204040,2025/09/03,03,,0,0.001,0.001,,0.007,,,,,,,W,0.6,,
36204040,2025/09/03,04,,0,0.001,0.001,,0.005,,,,,,,WNW,0.8,,
36204040,2025/09/03,05,,0.001,0.002,0.003,,0.003,,,,,,,W,1.0,,
36204040,2025/09/03,06,,0.001,0.002,0.003,,0.002,,,,,,,CALM,0.2,,
36204040,2025/09/03,07,,0.001,0.002,0.003,,0.003,,,,,,,WNW,1.9,,
36204040,2025/09/03,08,,0.001,0.001,0.002,,0.006,,,,,,,W,1.3,,
36204040,2025/09/03,09,,0.001,0.002,0.003,,0.013,,,,,,,E,0.8,,
36204040,2025/09/03,10,,0.001,0.002,0.003,,0.016,,,,,,,E,2.1,,
36204040,2025/09/03,11,,0.001,0.002,0.003,,0.020,,,,,,,S,2.8,,
36204040,2025/09/03,12,,0.001,0.002,0.003,,0.028,,,,,,,ENE,1.6,,
36204040,2025/09/03,13,,0.001,0.002,0.003,,0.035,,,,,,,ESE,3.9,,
36204040,2025/09/03,14,,0.001,0.001,0.002,,0.027,,,,,,,S,4.3,,
36204040,2025/09/03,15,,0.001,0,0.001,,0.021,,,,,,,SSW,1.7,,
36204040,2025/09/03,16,,0.001,0,0.001,,0.022,,,,,,,SSW,2.0,,
36204040,2025/09/03,17,,0.001,0.002,0.003,,0.025,,,,,,,WSW,1.5,,
36204040,2025/09/03,18,,0.002,0.002,0.004,,0.022,,,,,,,SSW,1.2,,
36204040,2025/09/03,19,,0,0,0,,0.014,,,,,,,SSW,1.5,,
36204040,2025/09/03,20,,0,0.001,0.001,,0.013,,,,,,,SW,1.6,,
36204040,2025/09/03,21,,0,0.001,0.001,,0.013,,,,,,,WNW,0.9,,
36204040,2025/09/03,22,,0,0.001,0.001,,0.012,,,,,,,SSW,1.1,,
36204040,2025/09/03,23,,0,0.001,0.001,,0.012,,,,,,,WSW,1.1,,
36204040,2025/09/03,24,,0.001,0.001,0.002,,0.009,,,,,,,W,0.9,,
36204040,2025/09/04,01,,0.001,0.002,0.003,,0.005,,,,,,,SW,1.6,,
36204040,2025/09/04,02,,0.001,0.001,0.002,,0.007,,,,,,,CALM,0.4,,
36204040,2025/09/04,03,,0.001,0.002,0.003,,0.004,,,,,,,ESE,0.5,,
36204040,2025/09/04,04,,0.001,0.002,0.003,,0.005,,,,,,,SE,1.4,,
36204040,2025/09/04,05,,0,0.001,0.001,,0.011,,,,,,,NW,2.1,,
36204040,2025/09/04,06,,0,0,0,,0.011,,,,,,,ESE,0.5,,
36204040,2025/09/04,07,,0.001,0.001,0.002,,0.009,,,,,,,W,0.5,,
36204040,2025/09/04,08,,0.001,0.001,0.002,,0.009,,,,,,,WSW,1.3,,
36204040,2025/09/04,09,,0.001,0,0.001,,0.011,,,,,,,WNW,0.7,,
36204040,2025/09/04,10,,0.001,0.001,0.002,,0.012,,,,,,,WSW,1.0,,
36204040,2025/09/04,11,,0,0,0,,0.012,,,,,,,SE,1.3,,
36204040,2025/09/04,12,,0.001,0,0.001,,0.012,,,,,,,NE,0.7,,
36204040,2025/09/04,13,,0,0,0,,0.012,,,,,,,ENE,0.9,,
36204040,2025/09/04,14,,0.001,0.001,0.002,,0.014,,,,,,,SE,1.3,,
36204040,2025/09/04,15,,0,0,0,,0.012,,,,,,,E,3.9,,
36204040,2025/09/04,16,,0,0.002,0.002,,0.012,,,,,,,ESE,4.4,,
36204040,2025/09/04,17,,0,0.002,0.002,,0.011,,,,,,,E,4.0,,
36204040,2025/09/04,18,,0,0,0,,0.011,,,,,,,E,7.4,,
36204040,2025/09/04,19,,0,0,0,,0.011,,,,,,,E,6.9,,
36204040,2025/09/04,20,,0,0,0,,0.010,,,,,,,E,8.0,,
36204040,2025/09/04,21,,0,0.001,0.001,,0.009,,,,,,,E,6.5,,
36204040,2025/09/04,22,,0,0.002,0.002,,0.009,,,,,,,E,4.4,,
36204040,2025/09/04,23,,0,0.001,0.001,,0.010,,,,,,,ESE,3.5,,
36204040,2025/09/04,24,,0,0,0,,0.012,,,,,,,E,3.0,,
36204040,2025/09/05,01,,0,0,0,,0.013,,,,,,,ENE,3.6,,
36204040,2025/09/05,02,,0,0,0,,0.013,,,,,,,NW,3.6,,
36204040,2025/09/05,03,,0,0,0,,0.014,,,,,,,W,4.7,,
36204040,2025/09/05,04,,0,0,0,,0.014,,,,,,,W,4.3,,
36204040,2025/09/05,05,,0,0.001,0.001,,0.012,,,,,,,SW,2.7,,
36204040,2025/09/05,06,,0,0.001,0.001,,0.010,,,,,,,W,3.1,,
36204040,2025/09/05,07,,0,0.001,0.001,,0.009,,,,,,,W,0.7,,
36204040,2025/09/05,08,,0.001,0.001,0.002,,0.007,,,,,,,NW,2.7,,
36204040,2025/09/05,09,,0.002,0.002,0.004,,0.007,,,,,,,WSW,1.8,,
36204040,2025/09/05,10,,0.001,0.001,0.002,,0.006,,,,,,,SW,1.8,,
36204040,2025/09/05,11,,0.002,0.003,0.005,,0.008,,,,,,,SSW,1.7,,
36204040,2025/09/05,12,,0.003,0.004,0.007,,0.010,,,,,,,ENE,2.3,,
36204040,2025/09/05,13,,0.001,0.002,0.003,,0.020,,,,,,,ENE,2.2,,
36204040,2025/09/05,14,,0.001,0.002,0.003,,0.019,,,,,,,NW,3.0,,
36204040,2025/09/05,15,,0.001,0.001,0.002,,0.019,,,,,,,WSW,1.6,,
36204040,2025/09/05,16,,0.001,0.002,0.003,,0.017,,,,,,,ESE,0.8,,
36204040,2025/09/05,17,,0.001,0.002,0.003,,0.013,,,,,,,S,0.7,,
36204040,2025/09/05,18,,0.001,0.002,0.003,,0.011,,,,,,,WSW,0.8,,
36204040,2025/09/05,19,,0,0.002,0.002,,0.008,,,,,,,CALM,0.3,,
36204040,2025/09/05,20,,0,0.002,0.002,,0.006,,,,,,,CALM,0.4,,
36204040,2025/09/05,21,,0,0.002,0.002,,0.004,,,,,,,CALM,0.4,,
36204040,2025/09/05,22,,0,0.002,0.002,,0.004,,,,,,,WSW,0.9,,
36204040,2025/09/05,23,,0,0.002,0.002,,0.005,,,,,,,SSW,1.1,,
36204040,2025/09/05,24,,0,0.003,0.003,,0.008,,,,,,,WNW,1.0,,
36204040,2025/09/06,01,,-,-,-,,0.005,,,,,,,WSW,0.9,,
36204040,2025/09/06,02,,0,0.002,0.002,,0.004,,,,,,,W,0.8,,
36204040,2025/09/06,03,,0,0.002,0.002,,0.005,,,,,,,W,1.3,,
36204040,2025/09/06,04,,0,0.002,0.002,,0.004,,,,,,,W,0.9,,
36204040,2025/09/06,05,,0,0.002,0.002,,0.005,,,,,,,WSW,1.6,,
36204040,2025/09/06,06,,0,0.002,0.002,,0.007,,,,,,,SE,0.6,,
36204040,2025/09/06,07,,0,0.003,0.003,,0.018,,,,,,,ENE,1.6,,
36204040,2025/09/06,08,,0.001,0.003,0.004,,0.023,,,,,,,E,2.6,,
36204040,2025/09/06,09,,0.001,0.004,0.005,,0.030,,,,,,,E,3.4,,
36204040,2025/09/06,10,,0.001,0.004,0.005,,0.036,,,,,,,E,5.0,,
36204040,2025/09/06,11,,0.001,0.005,0.006,,0.040,,,,,,,E,4.8,,
36204040,2025/09/06,12,,0.001,0.004,0.005,,0.049,,,,,,,E,5.0,,
36204040,2025/09/06,13,,0,0.002,0.002,,0.052,,,,,,,E,3.1,,
